file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes
59,059_capabilities.php,wordpress_4.0/wp-includes\capabilities.php,1539,38.2,5,True
60,060_nav-menus.php,wordpress_4.0/wp-admin\nav-menus.php,798,37.7,3,True
61,061_class-snoopy.php,wordpress_4.0/wp-includes\class-snoopy.php,1256,36.9,5,True
62,062_meta.php,wordpress_4.0/wp-includes\meta.php,1221,35.9,4,True
63,063_class.akismet.php,wordpress_4.0/wp-content\plugins\akismet\class.akismet.php,933,35.2,4,True
64,064_class.akismet-admin.php,wordpress_4.0/wp-content\plugins\akismet\class.akismet-admin.php,862,34.1,4,True
65,065_schema.php,wordpress_4.0/wp-admin\includes\schema.php,1037,33.4,2,True
66,066_wp-login.php,wordpress_4.0/wp-login.php,952,32.3,8,True
67,067_class-IXR.php,wordpress_4.0/wp-includes\class-IXR.php,1100,32.1,10,True
68,068_class-wp-customize-manager.php,wordpress_4.0/wp-includes\class-wp-customize-manager.php,1272,31.9,4,True
69,069_screen.php,wordpress_4.0/wp-admin\includes\screen.php,1179,31.4,8,True
70,070_plugin.php,wordpress_4.0/wp-includes\plugin.php,920,30.3,4,True
71,071_module.audio.ogg.php,wordpress_4.0/wp-includes\ID3\module.audio.ogg.php,671,29.9,6,True
72,072_image-edit.php,wordpress_4.0/wp-admin\includes\image-edit.php,828,28.8,5,True
73,073_edit-form-advanced.php,wordpress_4.0/wp-admin\edit-form-advanced.php,636,28.7,6,True
74,074_class-wp-customize-control.php,wordpress_4.0/wp-includes\class-wp-customize-control.php,1124,28.6,6,True
75,075_deprecated.php,wordpress_4.0/wp-admin\includes\deprecated.php,1190,28.5,5,True
76,076_l10n.php,wordpress_4.0/wp-includes\l10n.php,901,28.5,4,True
77,077_ms.php,wordpress_4.0/wp-admin\includes\ms.php,814,28.3,2,True
78,078_nav-menu.php,wordpress_4.0/wp-includes\nav-menu.php,895,28.1,5,True
79,079_class-wp-upgrader-skins.php,wordpress_4.0/wp-admin\includes\class-wp-upgrader-skins.php,767,27.9,5,True
80,080_class-smtp.php,wordpress_4.0/wp-includes\class-smtp.php,943,27.9,4,True
81,081_IRI.php,wordpress_4.0/wp-includes\SimplePie\IRI.php,1238,27.7,9,True
82,082_class-wp-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-list-table.php,1080,27.7,7,True
83,083_update-core.php,wordpress_4.0/wp-admin\update-core.php,649,26.9,5,True
84,084_Enclosure.php,wordpress_4.0/wp-includes\SimplePie\Enclosure.php,1380,26.8,5,True
85,085_class-ftp.php,wordpress_4.0/wp-admin\includes\class-ftp.php,907,26.2,7,True
86,086_press-this.php,wordpress_4.0/wp-admin\press-this.php,691,26.1,7,True
87,087_network.php,wordpress_4.0/wp-admin\network.php,561,25.9,4,True
88,088_wp-signup.php,wordpress_4.0/wp-signup.php,749,25.6,4,True
89,089_ms-blogs.php,wordpress_4.0/wp-includes\ms-blogs.php,939,25.1,3,True
90,090_canonical.php,wordpress_4.0/wp-includes\canonical.php,586,24.5,3,True
91,091_nav-menu-template.php,wordpress_4.0/wp-includes\nav-menu-template.php,678,23.9,3,True
92,092_load.php,wordpress_4.0/wp-includes\load.php,828,23.9,4,True
93,093_misc.php,wordpress_4.0/wp-admin\includes\misc.php,845,23.7,3,True
94,094_admin-bar.php,wordpress_4.0/wp-includes\admin-bar.php,868,23.6,2,True
95,095_class-wp-plugins-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-plugins-list-table.php,605,23.5,6,True
96,096_class-wp.php,wordpress_4.0/wp-includes\class-wp.php,782,22.8,9,True
97,097_update.php,wordpress_4.0/wp-includes\update.php,674,22.7,4,True
98,098_module.audio-video.flv.php,wordpress_4.0/wp-includes\ID3\module.audio-video.flv.php,729,22.7,5,True
99,099_rss.php,wordpress_4.0/wp-includes\rss.php,936,22.5,5,True
100,100_class-wp-filesystem-base.php,wordpress_4.0/wp-admin\includes\class-wp-filesystem-base.php,815,22.1,2,True
101,101_class-oembed.php,wordpress_4.0/wp-includes\class-oembed.php,579,22.0,5,True
102,102_plugin-install.php,wordpress_4.0/wp-admin\includes\plugin-install.php,544,22.0,2,True
103,103_class-wp-comments-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-comments-list-table.php,636,22.0,6,True
104,104_user-edit.php,wordpress_4.0/wp-admin\user-edit.php,557,21.3,3,True
105,105_class-pop3.php,wordpress_4.0/wp-includes\class-pop3.php,652,20.3,7,True
106,106_Source.php,wordpress_4.0/wp-includes\SimplePie\Source.php,611,20.1,6,True
107,107_edit-tags.php,wordpress_4.0/wp-admin\edit-tags.php,592,19.8,3,True
108,108_plugins.php,wordpress_4.0/wp-admin\plugins.php,455,19.3,4,True
110,110_image.php,wordpress_4.0/wp-admin\includes\image.php,598,19.0,5,True
111,111_cache.php,wordpress_4.0/wp-includes\cache.php,704,18.6,1,True
112,112_module.audio.ac3.php,wordpress_4.0/wp-includes\ID3\module.audio.ac3.php,473,18.5,7,True
113,113_user-new.php,wordpress_4.0/wp-admin\user-new.php,439,18.3,4,True
114,114_class-wp-media-list-table.php,wordpress_4.0/wp-admin\includes\class-wp-media-list-table.php,564,18.3,5,True
115,115_revision.php,wordpress_4.0/wp-includes\revision.php,657,18.1,4,True
116,116_export.php,wordpress_4.0/wp-admin\includes\export.php,508,17.6,3,True
